feature_name,rule,rate_2008,rate_2009,rate_2010,rate_2011,rate_2012,rate_2013,rate_2014,rate_2015,rate_2016,rate_2017,rate_2018,rate_2019,rate_2021,rate_2022,rate_2023,rate_2024,rate_2025,rate_2026,target_window_rate,target_window_years,threshold,cut
sos_opp_o,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
sos_opp_d,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
ncsos_adj_em,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
luck,non_zero,0.8843,0.9573,0.8898,0.937,0.9262,0.8871,0.8779,0.8667,0.8657,0.8595,0.8092,0.8672,0.8926,0.8943,0.8629,0.8244,0.8358,0.8594,0.8664,14,0.8,KEEP
sor,non_zero,0.6364,0.0598,0.1575,0.1496,0.1885,0.1935,0.5496,0.5259,0.6045,0.4959,0.5038,0.4062,0.6942,0.4146,0.5242,0.3282,0.2239,0.2344,0.4205,14,0.8,CUT
wab_poisson,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
momentum,non_zero,0.8843,0.9573,0.8898,0.937,0.9262,0.8871,0.8779,0.8667,0.8657,0.876,0.8168,0.8672,0.8926,0.8943,0.8871,0.8244,0.8358,0.8594,0.8698,14,0.8,KEEP
three_pt_variance,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
pace_adj_variance,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
elo_rating,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
free_throw_pct,non_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.8,CUT
assist_to_turnover,non_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.8,CUT
assist_rate,non_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.8,CUT
steal_rate,non_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.8,CUT
block_rate,non_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.8,CUT
opp_two_pt_pct_allowed,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
opp_three_pt_attempt_rate,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
conference_adj_em,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
three_pt_pct,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
three_pt_rate,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
def_xp_per_poss,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
win_pct,non_zero,0.8926,0.9573,0.8898,0.937,0.9262,0.8871,0.8855,0.8667,0.8881,0.8843,0.8321,0.8672,0.9339,0.8943,0.8871,0.8779,0.8507,0.8672,0.882,14,0.8,KEEP
elite_sos,non_zero,0.0083,0.0,0.0,0.0,0.0,0.0,0.0076,0.0,0.0373,0.0,0.0076,0.0,0.1405,0.0325,0.0,0.0,0.0,0.0,0.0161,14,0.8,CUT
q1_win_pct,non_zero,0.1488,0.0,0.0,0.0,0.0,0.0,0.0611,0.0741,0.097,0.0165,0.0,0.0,0.1736,0.0244,0.0323,0.0,0.0,0.0,0.0342,14,0.8,CUT
foul_rate,non_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.8,CUT
three_pt_regression,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922,0.9994,14,0.8,KEEP
